Chain: polkadot; replacing 13 bootnode(s) with /ip4/127.0.0.1/tcp/30333/ws/p2p/12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/44462/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/37202/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/46974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/48044/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/60402/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/20121, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/53430/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/30334, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWKa25PDU6ZKT4JMxgviVgYc3G3siFsrodn2oWDnf9ME3c, addr=/ip4/157.90.15.106/tcp/53077, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/45018/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/44180/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/59626/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/55234/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/35814/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/60340/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/54304/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/45674/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/42872/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWM15NeXNofBGJer4dhtBZ8yK3MLcGk5357Npm2ka8qU5n, addr=/ip4/37.27.123.69/tcp/38174/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/53270, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/50934, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/41036, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/44754, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/59592, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/48410, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/42364, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/40484, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHG68KmUinVvp3UomDBgBFaASQeYQBPArEmMrt8EevUZN, addr=/ip4/169.155.45.217/tcp/43612, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/53472/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/38508/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/43092/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/54856/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/38606/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/59596/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/39556/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/44326/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/33898/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPFaTRfZTQawpJ7VzPiLQJvLCCEsjXa1sppvKi8ihcy4p, addr=/ip4/87.117.123.117/tcp/33528/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/40778, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/47014, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/46922, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/35702, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/47062, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/60908, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/30333/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/36790, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/40624, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPh1FwuH1LppoGARUsr5LQnyJyRzoqcU6Ng4yiPbWjAjA, addr=/ip4/37.27.66.243/tcp/49880, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.74/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.72/tcp/443/wss, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.74/tcp/31960, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/54599, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode.linkpool.com/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/55017, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.19/tcp/31960, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode-p2p.linkpool.com/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode.linkpool.com/tcp/443/wss, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWLFqo8pSthrt3EFqB5fUEcg5QmQHAicavAVeHXmhH2nyX, addr=/ip4/92.249.167.64/tcp/4440, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQskPYqD4xo7WuAczKm5B9PQ9mzKUUaA3JpRZs9BDpM4T, addr=/ip4/188.36.82.36/tcp/4440, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/35992/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/36222/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/37734/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/58744/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/57934/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/56076/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/37866/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/35964/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/57318/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/41842/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/44512/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/64126, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
